Date,Reference,Transaction Type,Money In, Money Out,Balance
08/02/2019,06 FEB 19 Udemy udemy.com IRL IRL,Card Purchase,0.00,13.99,21342.39
08/02/2019,06 FEB 19 SAINSBURYS SACAT 6556 GLASGOW GBR GBR,Card Purchase,0.00,6.45,21356.38
07/02/2019,05 FEB 19 MCDONALDS GLASGOW GBR,Card Purchase,0.00,6.47,21362.83
07/02/2019,HLAM REGULAR SAVIN,Direct Debit,0.00,1200.00,21369.30
06/02/2019,04 FEB 19 ABELLIO SCOTRAIL LTD GLASGOW 9911 GBR,Card Purchase,0.00,15.50,22569.30
06/02/2019,04 FEB 19 GREGGS GLASGOW GBR,Card Purchase,0.00,5.50,22584.80
